Date,Volume,Close,Average,,,,,,,,,,
22/11/2017,"45,033,392", $259.76 ,258.329,,,,,,,,,,
24/11/2017,"27,856,514", $260.36 ,258.548,,,,,,,,,,
27/11/2017,"52,274,922", $260.23 ,258.762,,,,,,,,,,
28/11/2017,"98,971,719", $262.87 ,259.216,,,,,,,,,,
29/11/2017,"77,512,102", $262.71 ,259.714,,,,,,,,,,
30/11/2017,"127,894,389", $265.01 ,260.571,,,,,,,,,,
01/12/2017,"164,390,902", $264.46 ,261.155,,,,,,,,,,
04/12/2017,"94,040,560", $264.14 ,261.783,,,,,,,,,,
05/12/2017,"77,994,544", $263.19 ,262.272,,,,,,,,,,
06/12/2017,"75,898,566", $263.24 ,262.597,,,,,,,,,,
07/12/2017,"77,218,569", $264.07 ,263.028,,,,,,,,,,
08/12/2017,"76,563,873", $265.51 ,263.543,,,,,,,,,,
11/12/2017,"83,077,533", $266.31 ,264.151,,,,,,,,,,
12/12/2017,"85,195,750", $266.78 ,264.542,,,,,,,,,,
13/12/2017,"102,905,409", $266.75 ,264.946,,,,,,,,,,
14/12/2017,"100,666,692", $265.66 ,265.011,,,,,,,,,,
15/12/2017,"144,610,290", $266.51 ,265.216,,,,,,,,,,
18/12/2017,"83,653,572", $268.20 ,265.622,,,,,,,,,,
19/12/2017,"82,382,876", $267.17 ,266.02,,,,,,,,,,
20/12/2017,"76,751,500", $267.03 ,266.399,,,,,,,,,,
21/12/2017,"67,032,339", $267.58 ,266.75,,,,,,,,,,
22/12/2017,"78,720,873", $267.51 ,266.95,,,,,,,,,,
26/12/2017,"45,244,433", $267.19 ,267.038,,,,,,,,,,
27/12/2017,"57,750,986", $267.32 ,267.092,,,,,,,,,,
28/12/2017,"45,116,139", $267.87 ,267.204,,,,,,,,,,
29/12/2017,"96,007,424", $266.86 ,267.324,,,,,,,,,,
02/01/2018,"86,655,749", $268.77 ,267.55,,,,,,,,,,
03/01/2018,"90,070,416", $270.47 ,267.777,,,,,,,,,,
04/01/2018,"80,636,408", $271.61 ,268.221,,,,,,,,,,
05/01/2018,"83,523,995", $273.42 ,268.86,,,,,,,,,,
08/01/2018,"57,319,192", $273.92 ,269.494,,,,,,,,,,
09/01/2018,"57,253,957", $274.54 ,270.197,,,,,,,,,,
10/01/2018,"69,574,318", $274.12 ,270.89,,,,,,,,,,
11/01/2018,"62,361,455", $276.12 ,271.77,,,,,,,,,,
12/01/2018,"90,816,076", $277.92 ,272.775,,,,,,,,,,
16/01/2018,"106,555,142", $276.97 ,273.786,,,,,,,,,,
17/01/2018,"113,258,799", $279.61 ,274.87,,,,,,,,,,
18/01/2018,"100,728,006", $279.14 ,275.737,,,,,,,,,,
19/01/2018,"140,920,098", $280.41 ,276.617,,,,,,,,,,
22/01/2018,"91,322,408", $282.69 ,277.544,,,,,,,,,,
23/01/2018,"97,084,700", $283.29 ,278.481,,,,,,,,,,
24/01/2018,"134,816,117", $283.18 ,279.345,,,,,,,,,,
25/01/2018,"84,587,313", $283.30 ,280.263,,,,,,,,,,
26/01/2018,"107,743,119", $286.58 ,281.309,,,,,,,,,,
29/01/2018,"90,118,337", $284.68 ,281.985,,,,,,,,,,
30/01/2018,"131,796,419", $281.76 ,282.464,,,,,,,,,,
31/01/2018,"118,948,131", $281.90 ,282.693,,,,,,,,,,
01/02/2018,"90,102,470", $281.58 ,282.937,,,,,,,,,,
02/02/2018,"173,174,790", $275.45 ,282.441,,,,,,,,,,
05/02/2018,"294,681,816", $263.93 ,280.565,,,,,,,,,,
06/02/2018,"355,026,782", $269.13 ,279.149,,,,,,,,,,
07/02/2018,"167,376,100", $267.67 ,277.598,,,,,,,,,,
08/02/2018,"246,449,505", $257.63 ,275.031,,,,,,,,,,
09/02/2018,"283,565,315", $261.50 ,272.523,,,,,,,,,,
12/02/2018,"143,735,976", $265.34 ,270.589,,,,,,,,,,
13/02/2018,"81,223,640", $266.00 ,269.013,,,,,,,,,,
14/02/2018,"120,735,685", $269.59 ,267.782,,,,,,,,,,
15/02/2018,"111,200,286", $273.03 ,266.927,,,,,,,,,,
16/02/2018,"160,420,135", $273.11 ,266.693,,,,,,,,,,
20/02/2018,"86,369,662", $271.40 ,267.44,,,,,,,,,,
21/02/2018,"98,883,740", $270.05 ,267.532,,,,,,,,,,
22/02/2018,"110,511,290", $270.40 ,267.805,,,,,,,,,,
23/02/2018,"92,766,428", $274.71 ,269.513,,,,,,,,,,
26/02/2018,"86,491,406", $277.90 ,271.153,,,,,,,,,,
27/02/2018,"99,099,165", $274.43 ,272.062,,,,,,,,,,
28/02/2018,"121,907,767", $271.65 ,272.627,,,,,,,,,,
01/03/2018,"176,855,077", $267.70 ,272.438,,,,,,,,,,
02/03/2018,"139,083,217", $269.08 ,272.043,,,,,,,,,,
05/03/2018,"97,307,387", $272.19 ,271.951,,,,,,,,,,
06/03/2018,"79,213,163", $272.88 ,272.099,,,,,,,,,,
07/03/2018,"87,063,502", $272.78 ,272.372,,,,,,,,,,
08/03/2018,"66,901,150", $274.10 ,272.742,,,,,,,,,,
09/03/2018,"113,625,335", $278.87 ,273.158,,,,,,,,,,
12/03/2018,"71,924,793", $278.52 ,273.22,,,,,,,,,,
13/03/2018,"91,968,937", $276.72 ,273.449,,,,,,,,,,
14/03/2018,"105,895,079", $275.30 ,273.814,,,,,,,,,,
15/03/2018,"83,433,038", $275.00 ,274.544,,,,,,,,,,
16/03/2018,"100,343,673", $274.20 ,275.056,,,,,,,,,,
