Date,Close,Volume,Average,,,,,,,,,,
12/09/2017, $50.69 ,"742,309",50.08149,,,,,,,,,,
13/09/2017, $50.79 ,"773,998",50.25216,,,,,,,,,,
14/09/2017, $50.99 ,"1,656,865",50.35883,,,,,,,,,,
15/09/2017, $51.88 ,"1,424,069",50.50516,,,,,,,,,,
18/09/2017, $52.56 ,"1,477,100",50.69749,,,,,,,,,,
19/09/2017, $52.73 ,"1,382,773",50.97482,,,,,,,,,,
20/09/2017, $52.00 ,"2,276,161",51.17249,,,,,,,,,,
21/09/2017, $51.78 ,"864,404",51.33915,,,,,,,,,,
22/09/2017, $52.04 ,"742,069",51.59115,,,,,,,,,,
25/09/2017, $51.04 ,"1,795,709",51.64849,,,,,,,,,,
26/09/2017, $50.79 ,"1,474,364",51.65849,,,,,,,,,,
27/09/2017, $52.02 ,"1,166,501",51.78149,,,,,,,,,,
28/09/2017, $52.40 ,"819,926",51.92282,,,,,,,,,,
29/09/2017, $52.86 ,"919,005",52.02048,,,,,,,,,,
02/10/2017, $53.21 ,"1,240,620",52.08548,,,,,,,,,,
03/10/2017, $53.36 ,"536,255",52.14848,,,,,,,,,,
04/10/2017, $53.48 ,"873,872",52.29648,,,,,,,,,,
05/10/2017, $53.53 ,"538,100",52.47148,,,,,,,,,,
06/10/2017, $53.74 ,"742,855",52.64114,,,,,,,,,,
09/10/2017, $54.15 ,"835,394",52.95213,,,,,,,,,,
10/10/2017, $54.45 ,"756,712",53.31813,,,,,,,,,,
11/10/2017, $54.82 ,"859,244",53.59846,,,,,,,,,,
12/10/2017, $54.65 ,"584,534",53.82313,,,,,,,,,,
13/10/2017, $55.00 ,"531,824",54.03747,,,,,,,,,,
16/10/2017, $55.26 ,"543,323",54.24246,,,,,,,,,,
17/10/2017, $55.21 ,"558,950",54.42813,,,,,,,,,,
18/10/2017, $55.40 ,"712,216",54.62012,,,,,,,,,,
19/10/2017, $55.26 ,"1,063,738",54.79345,,,,,,,,,,
20/10/2017, $55.54 ,"1,083,697",54.97412,,,,,,,,,,
23/10/2017, $55.82 ,"899,786",55.14112,,,,,,,,,,
24/10/2017, $56.21 ,"643,431",55.31678,,,,,,,,,,
25/10/2017, $55.47 ,"1,567,992",55.38144,,,,,,,,,,
26/10/2017, $55.80 ,"1,145,177",55.4961,,,,,,,,,,
27/10/2017, $56.96 ,"1,058,614",55.69243,,,,,,,,,,
30/10/2017, $57.12 ,"1,579,326",55.8781,,,,,,,,,,
31/10/2017, $57.57 ,"1,031,806",56.1141,,,,,,,,,,
01/11/2017, $57.36 ,"1,516,446",56.31044,,,,,,,,,,
02/11/2017, $57.65 ,"4,100,165",56.54911,,,,,,,,,,
03/11/2017, $58.67 ,"2,683,706",56.86144,,,,,,,,,,
06/11/2017, $59.50 ,"3,057,801",57.22944,,,,,,,,,,
07/11/2017, $59.44 ,"1,299,621",57.5531,,,,,,,,,,
08/11/2017, $59.63 ,"1,204,797",57.96943,,,,,,,,,,
09/11/2017, $58.44 ,"3,302,448",58.23376,,,,,,,,,,
10/11/2017, $58.83 ,"1,166,501",58.42009,,,,,,,,,,
13/11/2017, $59.00 ,"1,309,027",58.60809,,,,,,,,,,
14/11/2017, $58.94 ,"801,803",58.74508,,,,,,,,,,
15/11/2017, $58.41 ,"1,175,654",58.85007,,,,,,,,,,
16/11/2017, $59.28 ,"1,094,698",59.01373,,,,,,,,,,
17/11/2017, $59.02 ,"1,887,504",59.04939,,,,,,,,,,
20/11/2017, $59.73 ,"1,792,679",59.07239,,,,,,,,,,
21/11/2017, $60.41 ,"3,603,069",59.16906,,,,,,,,,,
22/11/2017, $60.04 ,"1,204,200",59.21006,,,,,,,,,,
24/11/2017, $60.58 ,"557,048",59.42439,,,,,,,,,,
27/11/2017, $59.82 ,"1,692,811",59.52405,,,,,,,,,,
28/11/2017, $59.85 ,"1,971,334",59.60938,,,,,,,,,,
29/11/2017, $57.21 ,"5,576,749",59.43639,,,,,,,,,,
30/11/2017, $57.52 ,"4,294,011",59.34706,,,,,,,,,,
01/12/2017, $56.90 ,"4,877,604",59.1084,,,,,,,,,,
04/12/2017, $55.53 ,"4,886,565",58.75907,,,,,,,,,,
05/12/2017, $55.57 ,"5,340,374",58.34374,,,,,,,,,,
06/12/2017, $55.75 ,"2,170,593",57.87808,,,,,,,,,,
07/12/2017, $56.30 ,"2,917,664",57.50342,,,,,,,,,,
08/12/2017, $56.01 ,"1,965,958",57.04576,,,,,,,,,,
11/12/2017, $56.34 ,"5,248,315",56.69777,,,,,,,,,,
12/12/2017, $55.79 ,"1,307,704",56.29211,,,,,,,,,,
13/12/2017, $55.78 ,"980,256",56.14911,,,,,,,,,,
14/12/2017, $55.73 ,"889,142",55.96978,,,,,,,,,,
15/12/2017, $56.60 ,"3,382,626",55.94011,,,,,,,,,,
18/12/2017, $57.81 ,"3,488,896",56.16845,,,,,,,,,,
19/12/2017, $57.65 ,"2,278,669",56.37578,,,,,,,,,,
20/12/2017, $58.07 ,"1,342,219",56.60711,,,,,,,,,,
21/12/2017, $57.45 ,"1,751,009",56.72278,,,,,,,,,,
22/12/2017, $57.42 ,"877,928",56.86411,,,,,,,,,,
26/12/2017, $56.85 ,"680,037",56.91444,,,,,,,,,,
27/12/2017, $57.03 ,"794,443",57.0381,,,,,,,,,,
28/12/2017, $57.19 ,"788,974",57.17876,,,,,,,,,,
29/12/2017, $56.60 ,"760,612",57.26643,,,,,,,,,,
02/01/2018, $58.14 ,"2,860,189",57.42043,,,,,,,,,,
03/01/2018, $59.16 ,"1,327,396",57.55476,,,,,,,,,,
04/01/2018, $59.49 ,"1,334,983",57.73909,,,,,,,,,,
05/01/2018, $59.83 ,"1,170,671",57.91542,,,,,,,,,,
08/01/2018, $60.30 ,"1,622,773",58.20008,,,,,,,,,,
09/01/2018, $59.71 ,"1,464,947",58.42875,,,,,,,,,,
10/01/2018, $58.99 ,"2,030,483",58.64308,,,,,,,,,,
11/01/2018, $59.34 ,"1,047,364",58.87441,,,,,,,,,,
12/01/2018, $59.66 ,"1,101,929",59.12174,,,,,,,,,,
16/01/2018, $59.86 ,"1,463,420",59.4474,,,,,,,,,,
17/01/2018, $61.60 ,"1,137,152",59.79307,,,,,,,,,,
18/01/2018, $61.87 ,"3,163,771",60.06473,,,,,,,,,,
19/01/2018, $61.94 ,"1,188,695",60.30939,,,,,,,,,,
