Date,Close,Volume,Average,,,,,,,,,,
08/06/2018, $73.95 ,"1,019,106",73.168,,,,,,,,,,
11/06/2018, $74.19 ,"1,544,859",73.296,,,,,,,,,,
12/06/2018, $74.09 ,"1,069,266",73.525,,,,,,,,,,
13/06/2018, $73.94 ,"2,879,656",73.645,,,,,,,,,,
14/06/2018, $73.92 ,"2,136,947",73.804,,,,,,,,,,
15/06/2018, $73.63 ,"1,418,155",73.859,,,,,,,,,,
18/06/2018, $73.31 ,"3,442,702",73.839,,,,,,,,,,
19/06/2018, $72.01 ,"3,575,908",73.697,,,,,,,,,,
20/06/2018, $72.18 ,"1,678,615",73.502,,,,,,,,,,
21/06/2018, $71.64 ,"2,327,673",73.286,,,,,,,,,,
22/06/2018, $72.02 ,"1,135,417",73.093,,,,,,,,,,
25/06/2018, $71.00 ,"4,242,385",72.774,,,,,,,,,,
26/06/2018, $71.10 ,"1,539,205",72.475,,,,,,,,,,
27/06/2018, $70.41 ,"2,886,952",72.122,,,,,,,,,,
28/06/2018, $70.78 ,"2,791,243",71.808,,,,,,,,,,
29/06/2018, $71.12 ,"1,957,825",71.557,,,,,,,,,,
02/07/2018, $70.91 ,"3,574,165",71.317,,,,,,,,,,
03/07/2018, $70.85 ,"1,373,608",71.201,,,,,,,,,,
05/07/2018, $71.36 ,"2,242,286",71.119,,,,,,,,,,
06/07/2018, $71.88 ,"6,346,086",71.143,,,,,,,,,,
09/07/2018, $72.58 ,"2,888,780",71.199,,,,,,,,,,
10/07/2018, $72.73 ,"1,960,968",71.372,,,,,,,,,,
11/07/2018, $71.87 ,"2,244,404",71.449,,,,,,,,,,
12/07/2018, $72.55 ,"1,555,869",71.663,,,,,,,,,,
13/07/2018, $72.66 ,"1,245,546",71.851,,,,,,,,,,
16/07/2018, $72.56 ,"776,287",71.995,,,,,,,,,,
17/07/2018, $72.84 ,"1,153,475",72.188,,,,,,,,,,
18/07/2018, $72.88 ,"1,080,526",72.391,,,,,,,,,,
19/07/2018, $72.54 ,"2,698,707",72.509,,,,,,,,,,
20/07/2018, $72.79 ,"1,718,854",72.6,,,,,,,,,,
23/07/2018, $72.79 ,"1,973,302",72.621,,,,,,,,,,
24/07/2018, $73.16 ,"2,234,773",72.664,,,,,,,,,,
25/07/2018, $73.88 ,"2,246,796",72.865,,,,,,,,,,
26/07/2018, $73.57 ,"977,318",72.967,,,,,,,,,,
27/07/2018, $73.35 ,"2,899,528",73.036,,,,,,,,,,
30/07/2018, $73.11 ,"1,703,725",73.091,,,,,,,,,,
31/07/2018, $73.30 ,"1,961,391",73.137,,,,,,,,,,
01/08/2018, $73.14 ,"2,460,788",73.163,,,,,,,,,,
02/08/2018, $73.10 ,"2,475,512",73.219,,,,,,,,,,
03/08/2018, $73.37 ,"912,683",73.277,,,,,,,,,,
06/08/2018, $73.36 ,"1,035,977",73.334,,,,,,,,,,
07/08/2018, $73.70 ,"1,652,902",73.388,,,,,,,,,,
08/08/2018, $73.71 ,"1,906,801",73.371,,,,,,,,,,
09/08/2018, $73.52 ,"657,079",73.366,,,,,,,,,,
10/08/2018, $72.65 ,"2,170,775",73.296,,,,,,,,,,
13/08/2018, $72.22 ,"1,455,324",73.207,,,,,,,,,,
14/08/2018, $72.55 ,"1,365,449",73.132,,,,,,,,,,
15/08/2018, $71.69 ,"2,889,314",72.987,,,,,,,,,,
16/08/2018, $72.23 ,"1,599,376",72.9,,,,,,,,,,
17/08/2018, $72.56 ,"1,409,884",72.819,,,,,,,,,,
20/08/2018, $72.83 ,"1,200,101",72.766,,,,,,,,,,
21/08/2018, $73.17 ,"1,486,531",72.713,,,,,,,,,,
22/08/2018, $73.28 ,"1,492,789",72.67,,,,,,,,,,
23/08/2018, $72.93 ,"2,118,246",72.611,,,,,,,,,,
24/08/2018, $73.49 ,"1,384,915",72.695,,,,,,,,,,
27/08/2018, $74.20 ,"3,820,363",72.893,,,,,,,,,,
28/08/2018, $74.24 ,"4,793,395",73.062,,,,,,,,,,
29/08/2018, $74.68 ,"1,853,242",73.361,,,,,,,,,,
30/08/2018, $74.04 ,"1,809,397",73.542,,,,,,,,,,
31/08/2018, $73.81 ,"2,993,515",73.667,,,,,,,,,,
04/09/2018, $73.40 ,"2,286,914",73.724,,,,,,,,,,
05/09/2018, $73.00 ,"1,388,958",73.707,,,,,,,,,,
06/09/2018, $72.74 ,"1,799,904",73.653,,,,,,,,,,
07/09/2018, $72.44 ,"1,790,913",73.604,,,,,,,,,,
10/09/2018, $72.56 ,"1,797,810",73.511,,,,,,,,,,
11/09/2018, $72.78 ,"1,518,568",73.369,,,,,,,,,,
12/09/2018, $72.92 ,"1,767,294",73.237,,,,,,,,,,
13/09/2018, $73.42 ,"2,042,791",73.111,,,,,,,,,,
14/09/2018, $73.48 ,"3,032,394",73.055,,,,,,,,,,
17/09/2018, $73.24 ,"1,795,958",72.998,,,,,,,,,,
18/09/2018, $73.76 ,"2,069,877",73.034,,,,,,,,,,
19/09/2018, $73.95 ,"1,594,502",73.129,,,,,,,,,,
20/09/2018, $74.65 ,"1,827,312",73.32,,,,,,,,,,
21/09/2018, $74.69 ,"1,295,772",73.545,,,,,,,,,,
24/09/2018, $74.34 ,"931,797",73.723,,,,,,,,,,
25/09/2018, $74.49 ,"1,031,073",73.894,,,,,,,,,,
26/09/2018, $74.44 ,"2,505,940",74.046,,,,,,,,,,
27/09/2018, $74.44 ,"2,164,646",74.148,,,,,,,,,,
28/09/2018, $74.26 ,"4,742,934",74.226,,,,,,,,,,
01/10/2018, $74.47 ,"1,656,287",74.349,,,,,,,,,,
02/10/2018, $74.22 ,"1,416,815",74.395,,,,,,,,,,
